akamai-sirt | Akamai Security Intelligence Group | https://feeds.feedburner.com/akamai/blog | [research] | HIGH | rss
ibm-xforce | IBM X-Force | https://www.ibm.com/think/x-force | [research,gov] | MEDIUM | webfetch
infoguard-ch | InfoGuard | https://www.infoguard.ch/en/blog | [ch-eu,research] | HIGH | webfetch
infosec-magazine | Infosecurity Magazine (RSS) | https://www.infosecurity-magazine.com/rss/news/ | [news] | MEDIUM | rss
inside-it-ch | Inside IT Switzerland | https://www.inside-it.ch/ | [ch-eu,news] | HIGH | bridge
intel471 | Intel 471 Blog | https://www.intel471.com/blog | [research] | HIGH | webfetch
kaspersky-securelist | Kaspersky Securelist (GReAT) | https://securelist.com/ | [research] | HIGH | webfetch
krebs | Krebs on Security | https://krebsonsecurity.com/ | [news] | HIGH | webfetch
kudelski-security | Kudelski Security Research | https://kudelskisecurity.com/research-blog | [ch-eu,research] | HIGH | webfetch
le-monde-info | Le Monde Informatique | https://www.lemondeinformatique.fr/ | [ch-eu,news] | HIGH | webfetch
malwarebytes | Malwarebytes Labs | https://www.malwarebytes.com/blog | [news,research] | HIGH | webfetch
mandiant-gtig | Google Cloud / Mandiant (GTIG) | https://cloud.google.com/blog/topics/threat-intelligence | [gov,research] | HIGH | webfetch
msft-ti | Microsoft Threat Intelligence | https://www.microsoft.com/en-us/security/blog/topic/threat-intelligence/ | [gov,research] | HIGH | webfetch
ncc-research | NCC Group Research | https://www.nccgroup.com/research-blog/ | [ch-eu,research] | HIGH | bridge
oneconsult-ch | OneConsult | https://www.oneconsult.com/en/blog/ | [ch-eu,research] | HIGH | webfetch
prodaft | PRODAFT — Reports | https://www.prodaft.com/reports | [ch-eu,research] | HIGH | bridge
projectzero | Google Project Zero | https://projectzero.google/ | [vulns,research] | HIGH | webfetch
push-security | Push Security Blog | https://pushsecurity.com/blog | [research] | HIGH | webfetch
rapid7-research | Rapid7 Research | https://www.rapid7.com/blog/ | [vulns,research] | HIGH | webfetch
recordedfuture-insikt | Recorded Future Insikt Group | https://www.recordedfuture.com/research/insikt-group | [research,gov] | HIGH | webfetch
redcanary | Red Canary | https://redcanary.com/feed/ | [research] | HIGH | rss
risky-biz-news | Risky Biz News (Newsletter / Catalin Cimpanu) | https://news.risky.biz/rss/ | [news] | HIGH | rss
sans-ics | SANS ICS | https://www.sans.org/blog/?focus-area=industrial-control-systems-ics | [ot-ics,research] | HIGH | webfetch
sans-isc | SANS Internet Storm Center | https://isc.sans.edu/diaryarchive.html | [research,news] | HIGH | webfetch
sans-newsbites | SANS NewsBites | https://www.sans.org/newsletters/newsbites/ | [news] | HIGH | webfetch
schneier | Schneier on Security | https://www.schneier.com/blog/ | [news] | HIGH | webfetch
scip-ch | scip AG | https://www.scip.ch/?labs | [ch-eu,research] | HIGH | webfetch
securityaffairs | Security Affairs | https://securityaffairs.com/ | [news] | MEDIUM | webfetch
securityweek | SecurityWeek | https://www.securityweek.com/ | [news] | MEDIUM | webfetch
sekoia | Sekoia.io blog | https://blog.sekoia.io/ | [ch-eu,research] | HIGH | webfetch
sentinellabs | SentinelOne / SentinelLabs | https://www.sentinelone.com/labs/ | [research] | HIGH | webfetch
shadowserver | Shadowserver Foundation — News & Insights | https://www.shadowserver.org/news-insights/ | [research,active-breaking] | HIGH | webfetch
socprime | SOC Prime | https://socprime.com/blog/ | [research] | MEDIUM | webfetch
sophos-xops | Sophos X-Ops (incl. former Secureworks CTU) | https://www.sophos.com/en-us/blog | [research] | HIGH | webfetch
sygnia | Sygnia | https://www.sygnia.co/blog/ | [research] | HIGH | webfetch
talos | Cisco Talos | https://blog.talosintelligence.com/ | [research] | HIGH | webfetch
tenable-research | Tenable Research | https://www.tenable.com/blog | [vulns,research] | HIGH | webfetch
therecord | The Record (Recorded Future News) | https://therecord.media/ | [news] | HIGH | webfetch
trellix | Trellix Blogs | https://www.trellix.com/blogs/ | [research] | HIGH | webfetch
trendmicro-research | Trend Micro Research | https://www.trendmicro.com/en_us/research.html | [research] | HIGH | webfetch
troyhunt | Troy Hunt — Have I Been Pwned | https://www.troyhunt.com/ | [news,breaches] | HIGH | webfetch
truesec | Truesec | https://www.truesec.com/hub/blog | [ch-eu,research] | HIGH | webfetch
trustwave-spiderlabs | LevelBlue (formerly Trustwave) SpiderLabs | https://www.levelblue.com/blogs/spiderlabs-blog | [research,vulns] | HIGH | webfetch
unit42 | Palo Alto Networks Unit 42 | https://unit42.paloaltonetworks.com/ | [research] | HIGH | webfetch
volexity | Volexity | https://www.volexity.com/blog/ | [research] | HIGH | webfetch
watchtowr | watchTowr Labs | https://labs.watchtowr.com/ | [vulns,research] | HIGH | webfetch
withsecure-labs | WithSecure Labs | https://labs.withsecure.com/publications | [ch-eu,research] | MEDIUM | webfetch
wiz-blog | Wiz Research Blog | https://www.wiz.io/blog | [vulns,research] | HIGH | webfetch
zdi | Zero Day Initiative | https://www.zerodayinitiative.com/blog/ | [vulns,research] | HIGH | webfetch
