url	status	note
https://www.20min.ch/fr/story/geneve-les-hackers-de-l-institut-ifage-ont-mis-leurs-menaces-a-execution-103608147	200	2026-08-02T13:23:53Z
https://www.ictjournal.ch/news/2026-07-17/cyberattaque-contre-lifage-les-pirates-de-dragonforce-menacent-de-publier-la-masse	200	2026-08-02T13:23:53Z
https://www.oracle.com/security-alerts/cpujul2026.html	200	2026-08-02T13:23:53Z
https://advisories.ncsc.nl/advisory?id=NCSC-2026-0252	302	2026-08-02T13:23:53Z redirect shell, content not retrieved via bridge
https://www.ibm.com/support/pages/node/7279996	200	2026-08-02T13:23:53Z
https://www.zerodayinitiative.com/advisories/ZDI-26-036/	200	2026-08-02T13:23:53Z
https://github.com/alibaba/fastjson2/wiki/Security-Advisory:-Remote-Code-Execution-in-fastjson-1.2.68%E2%80%931.2.83	200	2026-08-02T13:23:53Z
https://www.ptc.com/en/about/trust-center/advisory-center/active-advisories/windchill-flexplm-rce-vulnerability	200	2026-08-02T13:23:53Z
https://www.zscaler.com/blogs/security-research/targeted-attack-government-entities-middle-east-part-1	200	2026-08-02T13:23:53Z
https://www.rapid7.com/blog/post/tr-exposed-webdav-malware-delivery-lab-analysis/	200	2026-08-02T13:23:53Z
https://www.rapid7.com/blog/post/etr-cve-2026-63030-wp2shell-a-critical-remote-code-execution-vulnerability-in-wordpress-core/	200	2026-08-02T13:23:53Z
https://www.zataz.com/chat-control-un-pirate-cible-24-responsables-politiques-francais/	200	2026-08-02T13:23:53Z
https://www.arista.com/en/support/advisories-notices/security-advisory/24364-security-advisory-0144	200	2026-08-02T13:23:53Z
https://ssd-disclosure.com/vbulletin-runtime-template-runmaths-preauth-rce/	200	2026-08-02T13:23:53Z
https://fortiguard.fortinet.com/psirt/FG-IR-25-934	200	2026-08-02T13:23:53Z
https://cert-portal.siemens.com/productcert/csaf/ssa-734552.json	200	2026-08-02T13:23:53Z
https://www.rapid7.com/blog/post/ra-check-point-smartconsole-authentication-bypass-technical-analysis-cve-2026-16232	200	2026-08-02T13:23:53Z
https://www.blackfog.com/medusahvnc-a-hidden-desktop/	200	2026-08-02T13:23:53Z
https://blog.xlab.qianxin.com/dysphoria/	200	2026-08-02T13:23:53Z partial render
https://www.bleepingcomputer.com/news/security/ernst-and-young-data-breach-claimed-by-shinyhunters-extortion-gang/	200	2026-08-02T13:23:53Z
https://www.helpnetsecurity.com/2026/07/23/anthropic-claude-artifacts-download-malware/	200	2026-08-02T13:23:53Z
https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json	200	2026-08-02T13:23:53Z via tools/fetch_source.py cisa-kev
https://www.ransomware.live/id/Q0VOIGFuZCBDZW5lbGVjQGNvaW5iYXNlY2FydGVs	200	2026-08-02T13:24:37Z
https://www.redpacketsecurity.com/coinbasecartel-ransomware-victim-cen-and-cenelec/	200	2026-08-02T13:24:37Z
https://incyber.org/article/une-fuite-revendiquee-viserait-plus-de-111-000-agents-de-letat/	200	2026-08-02T13:24:37Z
https://www.cyberattaque.org/ministere-de-linterieur-111-528-agents-revendiques-dans-une-fuite-massive-de-donnees/	200	2026-08-02T13:24:37Z
https://www.cyberattaque.org/4-sdis-frappes-5-000-pompiers-exposes-dans-une-fuite-massive/	200	2026-08-02T13:24:37Z
https://frenchbreaches.com/alertes/tchap-mq4aeab2jsbmxt87pgb	200	2026-08-02T13:24:37Z
https://publicrecord.ro/2026/07/31/milioanele-ancpi-pentru-aplicatii-lovite-cibernetic/	200	2026-08-02T13:24:37Z
https://www.zscaler.com/blogs/security-research/targeted-attack-government-entities-middle-east-part-1	200	2026-08-02T13:24:37Z
https://api.ransomware.live/v2/countryvictims/CH	200	2026-08-02T13:24:37Z
https://api.ransomware.live/v2/recentvictims	200	2026-08-02T13:24:37Z
https://www.ncsc.admin.ch/ncsc/de/home/aktuell/aktuelle-vorfaelle.html	200	2026-08-02T13:24:37Z
https://openai.com/index/hugging-face-model-evaluation-security-incident/	200(jina)	confirmed quote
https://hunt.io/blog/thailand-ministry-finance-targeted-with-hermes-ai-agent	200	confirmed
https://slcyber.io/research-center/exploit-brokers-pay-500000-for-a-wordpress-rce-i-found-one-with-gpt5-6/	200	CONTRADICTS entry framing
https://www.sysdig.com/blog/jadepuffer-evolves-the-agentic-threat-actor-deploys-ransomware-built-to-destroy-ai-models	200(jina)	confirmed quote
https://www.huntress.com/blog/fakeagent-claude-desktop-malvertising-ends-in-dotnet-rat	200	confirmed
https://www.rapid7.com/blog/post/etr-cve-2026-63030-wp2shell-a-critical-remote-code-execution-vulnerability-in-wordpress-core/	200	confirmed, names Searchlight Cyber
https://www.bafin.de/SharedDocs/Veroeffentlichungen/DE/Massnahmen/40c_neu_124_WpHG/meldung_2026_07_20_team_viewer.html	200	confirmed exact quote
https://www.heise.de/news/TeamViewer-BaFin-verhaengt-Bussgeld-nach-Cyberangriff-11371639.html	200	confirmed incl. appeal rights
https://www.group-ib.com/blog/hollowgraph-microsoft-365/	200(meta only, JS blocked)	title/date confirmed
https://securelist.com/project-cav3rn-cyberespionage-framework-using-outlook-and-dns/120757/	200	confirmed
https://blog.talosintelligence.com/chaos-msarat-living-off-the-browser-to-build-covert-c2-channel/	200	confirmed exact quote
https://www.zscaler.com/blogs/security-research/targeted-attack-government-entities-middle-east-part-1	200	confirmed exact quote
https://www.proofpoint.com/us/blog/threat-insight/unpacking-cruciferra-analysis-sophisticated-crypter-service	200	confirmed
https://securelist.com/new-extortion-scheme-printers-bitlocker/120718/	200	confirmed
https://www.swissinfo.ch/ger/cyberkriminelle-greifen-thurgauer-zugbauer-stadler-rail-an/91776656	200	confirmed exact quote
https://www.letemps.ch/suisse/vaud/le-piratage-d-une-fiduciaire-vaudoise-expose-sur-le-dark-web-100-000-dossiers-de-clients-dont-celui-d-un-conseiller-d-etat	paywalled(jina teaser)	title+figures corroborated via search
https://autismuslink.ch/wp-content/uploads/2026_07_Informationsschreiben_zum_Serverausfall_Extern.pdf	200(PDF)	confirmed exact text
https://www.ransomware.live/id/YXV0aXNtdXNsaW5rLmNoQGluY3JhbnNvbQ==	200	confirmed
https://www.20min.ch/fr/story/geneve-les-hackers-de-l-institut-ifage-ont-mis-leurs-menaces-a-execution-103608147	200	confirmed exact quote
https://www.ictjournal.ch/news/2026-07-17/cyberattaque-contre-lifage-les-pirates-de-dragonforce-menacent-de-publier-la-masse	200	confirmed DragonForce attribution
https://www.go4it.ro/securitate-informatica/raport-dnsc-...-19280189/	200	confirmed
https://psnews.ro/raport-dnsc-dupa-incidentul-de-securitate-de-la-ancpi-...	200	confirmed exact quote
https://www.enisa.europa.eu/news/have-your-say-on-the-certification-of-eu-managed-security-services	200	confirmed exact quote
https://www.enisa.europa.eu/news/first-steps-forward-for-the-implementation-of-the-health-action-plan	200	confirmed exact quote
https://security-hub.ncsc.admin.ch/#/posts/12778	200(API)	confirmed exact quote
https://www.bleepingcomputer.com/news/security/critical-servicenow-code-execution-flaw-now-exploited-in-attacks/	200	confirmed
https://www.bleepingcomputer.com/news/security/critical-sharepoint-rce-flaw-exploited-to-steal-machine-keys/	200	confirmed exact quote
https://advisories.ncsc.nl/advisory?id=NCSC-2026-0237 (csaf NCSC-2026-0237)	200(API)	confirmed CVE-2026-50522 CVSS 9.80
https://advisories.ncsc.nl/advisory?id=NCSC-2026-0252 (csaf NCSC-2026-0252)	200(API)	confirmed 9x CVSS10.0
https://blog.checkpoint.com/security/security-advisory-action-required-active-exploitation-of-check-point-smartconsole-authentication-bypass-cve-2026-16232/	200	confirmed exact quote
https://www.cisa.gov/news-events/alerts/2026/07/21/cisa-adds-four-known-exploited-vulnerabilities-catalog	200(bridge)	confirmed CVE list
https://www.cisa.gov/news-events/alerts/2026/07/22/cisa-adds-two-known-exploited-vulnerabilities-catalog	200(bridge)	confirmed CVE list
https://advisories.ncsc.nl/2026/ncsc-2026-0264.html (csaf NCSC-2026-0264)	200(API)	confirmed CVE-2026-62144/-62145
https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0912/	200	confirmed CVEs, exploitation status
https://mysites.guru/blog/gridbox-critical-authentication-bypass/	200	confirmed exact figures
https://mysites.guru/blog/membership-pro-unauthenticated-file-upload/	200	confirmed
https://cyberstan.co.uk/nginx-rce/	200	CONTRADICTS "out-of-band" framing (source says "scheduled")
https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-54121 (msrc cve API)	200(API)	confirmed AD CS EoP, 2026-07-14
https://www.mitel.com/support/security-advisories/mitel-product-security-advisory-misa-2026-0006	200	confirmed CVSS 9.8, MTLVULN-1694
https://www.crowdstrike.com/en-us/blog/denying-the-worm-sandworm-mode-and-ai-toolchain-supply-chain-attacks/	200	confirmed exact figures
https://securitybrief.com.au/story/crowdstrike-warns-of-malware-targeting-ai-coding-tools	200	confirmed
https://www.cisa.gov/news-events/cybersecurity-advisories/aa26-204a	200(bridge)	confirmed exact quote + 16 nations counted
https://www.proofpoint.com/us/blog/threat-insight/ta488-targets-zimbra-mailservers-half-click-exploits	200	confirmed exact quotes
https://www.proofpoint.com/us/blog/threat-insight/ta458-roundpress-exploits	200	confirmed exact quotes
https://cybersecuritynews.com/certighost-active-directory-cs-flaw/	blocked(captcha)	not independently verified, corroborating role only
https://docs.progress.com/bundle/moveit-transfer-release-notes-2026/page/Fixed-Issues-in-2026.0.3.html	200	2026-08-02T13:27:30Z
https://security-hub.ncsc.admin.ch/#/posts/12808	200	2026-08-02T13:27:30Z
https://thehackernews.com/2026/07/certighost-exploit-lets-low-privileged.html	200	2026-08-02T13:27:30Z
https://security-hub.ncsc.admin.ch/#/posts/12804	200	2026-08-02T13:27:30Z
https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-54121	200	2026-08-02T13:27:30Z
https://wid.cert-bund.de/portal/wid/securityadvisory?name=WID-SEC-2026-2607	200	2026-08-02T13:27:30Z
https://github.com/advisories/GHSA-vmg2-rwj3-8rq2	200	2026-08-02T13:27:30Z
https://github.com/advisories/GHSA-g6j6-rqg9-wq7x	200	2026-08-02T13:27:30Z
https://github.com/advisories/GHSA-q7f4-j8r5-hmxq	200	2026-08-02T13:27:30Z
https://github.com/advisories/GHSA-m68w-g32j-mw5x	200	2026-08-02T13:27:30Z
https://github.com/advisories/GHSA-hq66-5q6c-849x	200	2026-08-02T13:27:30Z
https://github.com/advisories/GHSA-4cmj-5m56-fg8c	200	2026-08-02T13:27:30Z
https://advisories.ncsc.nl/advisory?id=NCSC-2026-0273	200	2026-08-02T13:27:30Z
https://helpx.adobe.com/security/products/campaign/apsb26-114.html	200	2026-08-02T13:27:30Z
https://ccb.belgium.be/advisories/warning-multiple-vulnerabilities-apache-traffic-server-patch-immediately	200	2026-08-02T13:27:30Z
https://lists.apache.org/thread/5prl9glcm9g2swnq9hqxvnokylm1gr6d	200	2026-08-02T13:27:30Z
https://ccb.belgium.be/advisories/warning-multiple-severe-vulnerabilities-xen-project-patch-immediately	200	2026-08-02T13:27:30Z
https://xenbits.xenproject.org/xsa/	200	2026-08-02T13:27:30Z
https://www.certvde.com/en/advisories/VDE-2026-008/	200	2026-08-02T13:27:30Z
https://advisories.ncsc.nl/advisory?id=NCSC-2026-0272	200	2026-08-02T13:27:30Z
https://advisories.ncsc.nl/advisory?id=NCSC-2026-0252	200	2026-08-02T13:28:21Z retrieved via jina reader after bridge redirect shell
https://www.securityweek.com/wp2shell-wordpress-vulnerabilities-exploited-in-the-wild/	200	2026-08-02T13:28:21Z
https://ransom-isac.org/blog/clop-windchill-flexplm-exploitation/	200	2026-08-02T13:28:21Z
https://www.imperva.com/blog/imperva-customers-protected-against-cve-2026-16723-critical-fastjson-1-x-zero-day-rce/	200	2026-08-02T13:28:21Z
https://www.bleepingcomputer.com/news/security/clop-ransomware-targets-windchill-flexplm-in-data-theft-attacks/	200	2026-08-02T13:28:21Z
https://www.securityweek.com/medusahvnc-malware-uses-hidden-windows-desktops-to-evade-detection/	200	2026-08-02T13:28:21Z
https://www.cyberattaque.org/chat-control-des-responsables-francais-cibles-par-une-fuite-de-donnees-sensibles/	200	2026-08-02T13:28:21Z
https://www.vulncheck.com/advisories/vbulletin-eval-injection-rce-via-vb5-template-runtime-php	200	2026-08-02T13:28:21Z
https://karmainsecurity.com/KIS-2026-13	200	2026-08-02T13:28:21Z
https://www.fortinet.com/blog/psirt-blogs/analysis-of-threat-actor-activity	200	2026-08-02T13:28:21Z
https://www.bleepingcomputer.com/news/security/fake-claude-app-promoted-by-bing-ads-pushes-sectoprat-malware/	200	2026-08-02T13:28:21Z
https://forum.vbulletin.com/forum/vbulletin-announcements/vbulletin-announcements_aa/4509358-security-patch-released-for-vbulletin-6-2-1-6-2-0-and-6-1-6	200	2026-08-02T13:28:21Z
https://www.crowdstrike.com/en-us/blog/inside-astaroths-new-spambot-component/	200	2026-08-02T13:28:32Z
