- advisories-ncsc-nl | NCSC-NL — Security Advisories (RSS) | https://advisories.ncsc.nl/rss/advisories | reliability=HIGH | cat=ch-eu,gov,active-breaking,vulns | fetch=rss | notes: Dutch NCSC machine-readable advisory feed (added 2026-05-08). Returns CSAF/CVRF-style Cisco/Ivanti/Apache/MOVEit/PAN-OS advisories with publication and last-upd
- compass-security | Compass Security Blog | https://blog.compass-security.com/ | reliability=HIGH | cat=ch-eu,research | fetch=webfetch | notes: Swiss security firm, technical research blog. Cadence ~weekly. RSS at https://blog.compass-security.com/feed/ if WebFetch ever degrades. (v2.55: rss_url verifie
- crowdstrike | CrowdStrike Threat Research | https://www.crowdstrike.com/blog/category/counter-adversary-operations/ | reliability=HIGH | cat=gov,research | fetch=webfetch | notes: Falcon Counter Adversary Operations / Falcon Intelligence threat reporting. URL CORRECTED 2026-05-08: legacy /blog/category/threat-intel-research/ now 301-redir
- csirt-acn-it | CSIRT Italia (ACN) — Alert e bollettini | https://www.acn.gov.it/portale/en/csirt-italia/alert-e-bollettini | reliability=HIGH | cat=ch-eu,gov | fetch=bridge | notes: Italian national CSIRT under ACN; English and Italian alerts and bulletins. WebFetch returns HTTP 403 (transport-side block, ongoing since 2026-05-06; re-confir
- edpb | European Data Protection Board | https://www.edpb.europa.eu/news/news_en | reliability=HIGH | cat=breaches,ch-eu | fetch=webfetch | notes: EU-wide data-protection coordination and major breach commentary. The /news/news_en feed is dominated by institutional announcements — material breach/enforceme
- enisa | ENISA | https://www.enisa.europa.eu/news | reliability=HIGH | cat=ch-eu,gov | fetch=webfetch | notes: EU Agency for Cybersecurity; threat landscape and policy reporting. /news lists press releases with dates. For substantive threat-landscape work, also drill int
- google-tag | Google Threat Analysis Group (TAG) | https://blog.google/threat-analysis-group/ | reliability=HIGH | cat=research,gov | fetch=rss | notes: Google Threat Analysis Group — distinct from GTIG (Mandiant). Tracks state-aligned actors, commercial spyware vendors, election interference. Added 2026-05-08. 
- govcert-at | GovCERT Austria | https://www.govcert.gv.at/en/ | reliability=MEDIUM | cat=ch-eu,gov | fetch=webfetch | notes: Austrian government CERT. /en/ root resolves but only carries navigation — no per-post dates. /en/news/ → HTTP 404. Substantive content is at the German-languag
- heise-sec | heise Security | https://www.heise.de/security/ | reliability=HIGH | cat=ch-eu,news | fetch=webfetch | notes: German tech press, strong technical reporting (translate findings to English in brief). heise often relays primary German-language reporting from Der Spiegel / 
- ibm-xforce | IBM X-Force | https://www.ibm.com/think/x-force | reliability=MEDIUM | cat=research,gov | fetch=webfetch | notes: IBM X-Force Threat Intelligence; annual X-Force Threat Index. URL CORRECTED 2026-05-08: legacy securityintelligence.com 301-redirects to www.ibm.com/think/secur
- ico-uk | UK ICO breach notifications | https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/ | reliability=HIGH | cat=breaches,ch-eu | fetch=bridge | notes: Information Commissioner's Office breach announcements. WebFetch returns HTTP 403 (ICO filters the routine UA; re-confirmed 2026-05-08). REQUIRED FETCH METHOD: 
- infoguard-ch | InfoGuard | https://www.infoguard.ch/en/blog | reliability=HIGH | cat=ch-eu,research | fetch=webfetch | notes: Swiss cyber security firm; CSIRT/IR/threat-intel blog and InfoGuard Labs. 2026-05-08 audit: WebFetch returned 5 dated articles latest 2026-05-04 on Linux malwar
- inside-it-ch | Inside IT Switzerland | https://www.inside-it.ch/ | reliability=HIGH | cat=ch-eu,news | fetch=bridge | notes: Swiss IT trade press; primary reporting on Swiss incidents (translate findings to English in brief). WebFetch returns HTTP 403 (re-confirmed 2026-05-08); the RS
- jpcert | JPCERT/CC (Japan) | https://www.jpcert.or.jp/english/index.html | reliability=HIGH | cat=gov,active-breaking | fetch=webfetch | notes: Japan Computer Emergency Response Team Coordination Center — primary Asian-region government CTI; strong on DPRK / China-aligned campaigns and Patch-Tuesday ale
- kudelski-security | Kudelski Security Research | https://kudelskisecurity.com/research-blog | reliability=HIGH | cat=ch-eu,research | fetch=webfetch | notes: Swiss-headquartered global security firm. URL CORRECTED 2026-05-08: legacy research.kudelskisecurity.com 302-redirects to kudelskisecurity.com/research-blog (th
- le-monde-info | Le Monde Informatique | https://www.lemondeinformatique.fr/ | reliability=HIGH | cat=ch-eu,news | fetch=webfetch | notes: French IT trade press (translate findings to English in brief).
- mandiant-gtig | Google Cloud / Mandiant (GTIG) | https://cloud.google.com/blog/topics/threat-intelligence | reliability=HIGH | cat=gov,research | fetch=webfetch | notes: Google Threat Intelligence Group; absorbed Mandiant CTI. The /topics/threat-intelligence landing lists titles but NO publication dates (only relative read times
- msft-ti | Microsoft Threat Intelligence | https://www.microsoft.com/en-us/security/blog/topic/threat-intelligence/ | reliability=HIGH | cat=gov,research | fetch=webfetch | notes: Microsoft Threat Intelligence Center reporting. 2026-05-08 audit: WebFetch returned 5 dated TI articles latest 2026-05-04 on AiTM phishing, Sapphire Sleet, Fore
- ncc-research | NCC Group Research | https://www.nccgroup.com/research-blog/ | reliability=HIGH | cat=ch-eu,research | fetch=bridge | notes: NCC Group / Fox-IT research blog; quarterly Threat Pulse. URL CORRECTED 2026-05-08: legacy https://research.nccgroup.com/ 307-redirects to www.nccgroup.com/rese
- ncsc-ch-focus | NCSC Switzerland — Im Fokus | https://www.ncsc.admin.ch/ncsc/de/home/aktuell/im-fokus.html | reliability=HIGH | cat=ch-eu,gov | fetch=webfetch | notes: Swiss NCSC focus topics (German). Translate findings to English in the brief. | 2026-05-08 audit: WebFetch returned 5 dated posts with 2026-05-07 latest.
- ncsc-ch-incidents | NCSC Switzerland — Aktuelle Vorfälle | https://www.ncsc.admin.ch/ncsc/de/home/aktuell/aktuelle-vorfaelle.html | reliability=HIGH | cat=ch-eu,active-breaking,gov | fetch=webfetch | notes: Swiss NCSC current incidents page (German). Translate findings to English in the brief. | 2026-05-08 audit: WebFetch returned 5 dated incidents incl. e-vignette
- ncsc-ch-security-hub | NCSC Switzerland — Cyber Security Hub (CSH) / GovCERT.ch | https://security-hub.ncsc.admin.ch/#/dashboard | reliability=HIGH | cat=ch-eu,active-breaking,gov,vulns | fetch=api | notes: GovCERT.ch was MERGED INTO NCSC.ch in 2023; CSH replaces the legacy govcert.ch blog (frozen since 2023-09). The /govcert path on ncsc.admin.ch is a navigation p
- ncsc-ie | NCSC Ireland | https://www.ncsc.gov.ie/news/ | reliability=HIGH | cat=ch-eu,gov | fetch=webfetch | notes: Irish National Cyber Security Centre (added 2026-05-08). 2026-05-08 audit: WebFetch returned 5 dated advisories Apr 8 - May 7 2026 covering PAN-OS / Linux / cPa
- ncsc-uk | NCSC UK | https://www.ncsc.gov.uk/section/keep-up-to-date/reports-advisories | reliability=HIGH | cat=gov,active-breaking | fetch=webfetch | notes: UK National Cyber Security Centre. /section/keep-up-to-date/threat-reports is a landing page with no actual reports listed. Substantive content lives at /sectio
- oneconsult-ch | OneConsult | https://www.oneconsult.com/en/blog/ | reliability=HIGH | cat=ch-eu,research | fetch=webfetch | notes: Swiss security firm, incident response and DFIR blog. 2026-05-08 audit: WebFetch returned 5 dated posts on pentests, SOC, IR with most recent 2026-04-09.
- prodaft | PRODAFT — Reports | https://www.prodaft.com/reports | reliability=HIGH | cat=ch-eu,research | fetch=bridge | notes: Swiss-Turkish CTI firm; reports index. WebFetch returns HTTP 403 (re-confirmed 2026-05-08). REQUIRED FETCH METHOD: `python3 tools/fetch_source.py url https://ww
- recordedfuture-insikt | Recorded Future Insikt Group | https://www.recordedfuture.com/research/insikt-group | reliability=HIGH | cat=research,gov | fetch=webfetch | notes: Recorded Future research arm. URL CORRECTED 2026-05-08: /research is a marketing landing — sub-agents got no article list. The Insikt Group blog listing is at /
- safeonweb-be | Centre for Cybersecurity Belgium (CCB) — Safe On Web | https://safeonweb.be/en | reliability=HIGH | cat=ch-eu,gov | fetch=webfetch | notes: Belgian CCB public alerts portal (added 2026-05-08; replaces failed /ccb.belgium.be paths). 2026-05-08 audit: WebFetch returned 5 dated items Apr 21 - May 6 202
- scip-ch | scip AG | https://www.scip.ch/?labs | reliability=HIGH | cat=ch-eu,research | fetch=webfetch | notes: Swiss security firm, vulnerability and incident research. 2026-05-08 audit: WebFetch returned 5 dated SCIP Labs articles by named authors, latest 2026-04-30.
- sekoia | Sekoia.io blog | https://blog.sekoia.io/ | reliability=HIGH | cat=ch-eu,research | fetch=webfetch | notes: French CTI vendor; strong European threat coverage. RSS at https://blog.sekoia.io/feed/ also works. 2026-05-08 audit: 5 dated 2026 articles (EvilTokens, APT28/.
- truesec | Truesec | https://www.truesec.com/hub/blog | reliability=HIGH | cat=ch-eu,research | fetch=webfetch | notes: Nordic IR firm (offices SE/DK/FI/DE); annual Threat Intelligence Report; strong European IR visibility. List view shows per-post dates and authors; drill into /
- us-treasury-ofac | US Treasury OFAC — Recent Actions | https://ofac.treasury.gov/recent-actions | reliability=HIGH | cat=sanctions,gov | fetch=webfetch | notes: Office of Foreign Assets Control sanctions designations — primary source for sanctioning ransomware-cashout networks, bulletproof-host operators, and state-acto
- withsecure-labs | WithSecure Labs | https://labs.withsecure.com/publications | reliability=MEDIUM | cat=ch-eu,research | fetch=webfetch | notes: Formerly F-Secure Labs; Finnish; strong on European threat actors. Cadence is sparse (low-frequency rotation source). The /publications landing does NOT surface
