- akamai-sirt | Akamai Security Intelligence Group | https://feeds.feedburner.com/akamai/blog | reliability=HIGH | cat=research | fetch=rss | notes: Akamai SIRT/SIG; strong DDoS and web-attack telemetry. URL UPDATED 2026-05-08: /blog/security-research returns only navigation/footer to WebFetch — the FeedBurn
- infosec-magazine | Infosecurity Magazine (RSS) | https://www.infosecurity-magazine.com/rss/news/ | reliability=MEDIUM | cat=news | fetch=rss | notes: Industry news (added 2026-05-08). Feed returned 5 dated items 2026-05-07/08.
- inside-it-ch | Inside IT Switzerland | https://www.inside-it.ch/ | reliability=HIGH | cat=ch-eu,news | fetch=bridge | notes: Swiss IT trade press; primary reporting on Swiss incidents (translate findings to English in brief). WebFetch returns HTTP 403 (re-confirmed 2026-05-08); the RS
- intel471 | Intel 471 Blog | https://www.intel471.com/blog | reliability=HIGH | cat=research | fetch=webfetch | notes: Intel 471 — financial-cybercrime + access-broker intelligence; deep coverage of named CIB clusters. RSS at /blog/feed.
- kaspersky-securelist | Kaspersky Securelist (GReAT) | https://securelist.com/ | reliability=HIGH | cat=research | fetch=webfetch | notes: Kaspersky GReAT research. RSS at https://securelist.com/feed/ is a usable backup. 2026-05-08 audit: 5 dated articles latest 2026-05-07 on xrdp RCE, OceanLotus.
- krebs | Krebs on Security | https://krebsonsecurity.com/ | reliability=HIGH | cat=news | fetch=webfetch | notes: Investigative cybersecurity journalism. RSS at https://krebsonsecurity.com/feed/. (v2.55: rss_url verified — use `python3 tools/fetch_source.py feed https://kre
- kudelski-security | Kudelski Security Research | https://kudelskisecurity.com/research-blog | reliability=HIGH | cat=ch-eu,research | fetch=webfetch | notes: Swiss-headquartered global security firm. URL CORRECTED 2026-05-08: legacy research.kudelskisecurity.com 302-redirects to kudelskisecurity.com/research-blog (th
- le-monde-info | Le Monde Informatique | https://www.lemondeinformatique.fr/ | reliability=HIGH | cat=ch-eu,news | fetch=webfetch | notes: French IT trade press (translate findings to English in brief).
- malwarebytes | Malwarebytes Labs | https://www.malwarebytes.com/blog | reliability=HIGH | cat=news,research | fetch=webfetch | notes: Malwarebytes research and consumer-facing reporting. RSS at https://www.malwarebytes.com/blog/feed.
- mandiant-gtig | Google Cloud / Mandiant (GTIG) | https://cloud.google.com/blog/topics/threat-intelligence | reliability=HIGH | cat=gov,research | fetch=webfetch | notes: Google Threat Intelligence Group; absorbed Mandiant CTI. The /topics/threat-intelligence landing lists titles but NO publication dates (only relative read times
- msft-ti | Microsoft Threat Intelligence | https://www.microsoft.com/en-us/security/blog/topic/threat-intelligence/ | reliability=HIGH | cat=gov,research | fetch=webfetch | notes: Microsoft Threat Intelligence Center reporting. 2026-05-08 audit: WebFetch returned 5 dated TI articles latest 2026-05-04 on AiTM phishing, Sapphire Sleet, Fore
- ncc-research | NCC Group Research | https://www.nccgroup.com/research-blog/ | reliability=HIGH | cat=ch-eu,research | fetch=bridge | notes: NCC Group / Fox-IT research blog; quarterly Threat Pulse. URL CORRECTED 2026-05-08: legacy https://research.nccgroup.com/ 307-redirects to www.nccgroup.com/rese
- oneconsult-ch | OneConsult | https://www.oneconsult.com/en/blog/ | reliability=HIGH | cat=ch-eu,research | fetch=webfetch | notes: Swiss security firm, incident response and DFIR blog. 2026-05-08 audit: WebFetch returned 5 dated posts on pentests, SOC, IR with most recent 2026-04-09.
- prodaft | PRODAFT — Reports | https://www.prodaft.com/reports | reliability=HIGH | cat=ch-eu,research | fetch=bridge | notes: Swiss-Turkish CTI firm; reports index. WebFetch returns HTTP 403 (re-confirmed 2026-05-08). REQUIRED FETCH METHOD: `python3 tools/fetch_source.py url https://ww
- projectzero | Google Project Zero | https://projectzero.google/ | reliability=HIGH | cat=vulns,research | fetch=webfetch | notes: Google's elite vulnerability research team. URL UPDATED 2026-05-08: legacy googleprojectzero.blogspot.com 301-redirects to projectzero.google. The Atom feed at 
- push-security | Push Security Blog | https://pushsecurity.com/blog | reliability=HIGH | cat=research | fetch=webfetch | notes: Identity and browser-layer attack research; AiTM phishing, MFA bypass, and SaaS threat coverage. Promoted from candidate → active 2026-05-08 after 2026-05-08 au
- rapid7-research | Rapid7 Research | https://www.rapid7.com/blog/ | reliability=HIGH | cat=vulns,research | fetch=webfetch | notes: Rapid7 vuln and incident research; Metasploit project; weekly Metasploit Wrap-Up. RSS at https://www.rapid7.com/rss.xml.
- recordedfuture-insikt | Recorded Future Insikt Group | https://www.recordedfuture.com/research/insikt-group | reliability=HIGH | cat=research,gov | fetch=webfetch | notes: Recorded Future research arm. URL CORRECTED 2026-05-08: /research is a marketing landing — sub-agents got no article list. The Insikt Group blog listing is at /
- redcanary | Red Canary | https://redcanary.com/feed/ | reliability=HIGH | cat=research | fetch=rss | notes: Red Canary detection engineering and IR. URL UPDATED 2026-05-08 to the RSS feed: /resources-center/category/blog/ returned a STUB (resource hub navigation) on W
- risky-biz-news | Risky Biz News (Newsletter / Catalin Cimpanu) | https://news.risky.biz/rss/ | reliability=HIGH | cat=news | fetch=rss | notes: Catalin Cimpanu's daily cybersecurity newsletter — strong signal-to-noise (added 2026-05-08). Often surfaces stories ahead of major outlets. RSS feed verified 2
- sans-ics | SANS ICS | https://www.sans.org/blog/?focus-area=industrial-control-systems-ics | reliability=HIGH | cat=ot-ics,research | fetch=webfetch | notes: SANS ICS/OT focused blog series.
- sans-isc | SANS Internet Storm Center | https://isc.sans.edu/diaryarchive.html | reliability=HIGH | cat=research,news | fetch=webfetch | notes: Daily diaries by handler community; strong technical signal. (v2.55: rss_url verified — use `python3 tools/fetch_source.py feed https://isc.sans.edu/rssfeed.xml
- sans-newsbites | SANS NewsBites | https://www.sans.org/newsletters/newsbites/ | reliability=HIGH | cat=news | fetch=webfetch | notes: SANS NewsBites — bi-weekly editorial newsletter. NO RSS. Recipe: `url https://www.sans.org/newsletters/newsbites/` to discover /newsletters/newsbites/<roman>-<n
- schneier | Schneier on Security | https://www.schneier.com/blog/ | reliability=HIGH | cat=news | fetch=webfetch | notes: Bruce Schneier; analytical/policy commentary. The /blog/ path now redirects to /. RSS at https://www.schneier.com/feed/atom/. (v2.55: rss_url verified — use `py
- scip-ch | scip AG | https://www.scip.ch/?labs | reliability=HIGH | cat=ch-eu,research | fetch=webfetch | notes: Swiss security firm, vulnerability and incident research. 2026-05-08 audit: WebFetch returned 5 dated SCIP Labs articles by named authors, latest 2026-04-30.
- securityaffairs | Security Affairs | https://securityaffairs.com/ | reliability=MEDIUM | cat=news | fetch=webfetch | notes: Pierluigi Paganini's outlet; broad coverage. Listing surfaces dates and article URLs cleanly. Discovery-only — always trace to the primary report (vendor adviso
- securityweek | SecurityWeek | https://www.securityweek.com/ | reliability=MEDIUM | cat=news | fetch=webfetch | notes: Industry news; verify primary source.
- sekoia | Sekoia.io blog | https://blog.sekoia.io/ | reliability=HIGH | cat=ch-eu,research | fetch=webfetch | notes: French CTI vendor; strong European threat coverage. RSS at https://blog.sekoia.io/feed/ also works. 2026-05-08 audit: 5 dated 2026 articles (EvilTokens, APT28/.
- sentinellabs | SentinelOne / SentinelLabs | https://www.sentinelone.com/labs/ | reliability=HIGH | cat=research | fetch=webfetch | notes: SentinelLabs CTI/research arm — APT, ransomware, and cloud-native attack research (added 2026-05-08). 2026-05-08 audit: WebFetch returned 5 dated articles lates
- shadowserver | Shadowserver Foundation — News & Insights | https://www.shadowserver.org/news-insights/ | reliability=HIGH | cat=research,active-breaking | fetch=webfetch | notes: Non-profit; exposure scanning telemetry and incident observations. Cadence is sparse — flag 'no items' rather than fetch failure when window is empty.
- socprime | SOC Prime | https://socprime.com/blog/ | reliability=MEDIUM | cat=research | fetch=webfetch | notes: SOC Prime — Sigma-rule-focused threat-research blog (detection-engineering use case).
- sophos-xops | Sophos X-Ops (incl. former Secureworks CTU) | https://www.sophos.com/en-us/blog | reliability=HIGH | cat=research | fetch=webfetch | notes: Sophos cross-team threat research. Sophos acquired Secureworks in 2025 → former Secureworks CTU research now publishes here (the legacy `secureworks-ctu` source
- sygnia | Sygnia | https://www.sygnia.co/blog/ | reliability=HIGH | cat=research | fetch=webfetch | notes: Israeli IR firm; advisories at https://www.sygnia.co/threat-reports-and-advisories/. 2026-05-08 audit: WebFetch returned 5 dated articles Feb 15 - Mar 24 2026 (
- talos | Cisco Talos | https://blog.talosintelligence.com/ | reliability=HIGH | cat=research | fetch=webfetch | notes: Cisco's threat intelligence team. Has previously returned HTTP 403 on the routine UA (last seen 2026-05-06; recovered 2026-05-07 and confirmed working 2026-05-0
- tenable-research | Tenable Research | https://www.tenable.com/blog | reliability=HIGH | cat=vulns,research | fetch=webfetch | notes: Tenable vuln research; Patch Tuesday analysis. RSS at https://www.tenable.com/blog/feed.
- therecord | The Record (Recorded Future News) | https://therecord.media/ | reliability=HIGH | cat=news | fetch=webfetch | notes: Cybersecurity journalism owned by Recorded Future. The homepage / lists recent dated articles. /news/cybercrime is a navigation/podcast hub with NO articles — n
- trellix | Trellix Blogs | https://www.trellix.com/blogs/ | reliability=HIGH | cat=research | fetch=webfetch | notes: Trellix research/perspectives/platform blogs. NO RSS feed. Recipe: `url https://www.trellix.com/blogs/` then scrape /blogs/(research|perspectives|platform)/<slu
- trendmicro-research | Trend Micro Research | https://www.trendmicro.com/en_us/research.html | reliability=HIGH | cat=research | fetch=webfetch | notes: Trend Micro threat research. RSS at https://feeds.feedburner.com/TrendMicroResearch is a drop-in alternative.
- troyhunt | Troy Hunt — Have I Been Pwned | https://www.troyhunt.com/ | reliability=HIGH | cat=news,breaches | fetch=webfetch | notes: Troy Hunt's blog — HIBP breach-disclosure analysis, identity / credential-stuffing research.
- truesec | Truesec | https://www.truesec.com/hub/blog | reliability=HIGH | cat=ch-eu,research | fetch=webfetch | notes: Nordic IR firm (offices SE/DK/FI/DE); annual Threat Intelligence Report; strong European IR visibility. List view shows per-post dates and authors; drill into /
- trustwave-spiderlabs | LevelBlue (formerly Trustwave) SpiderLabs | https://www.levelblue.com/blogs/spiderlabs-blog | reliability=HIGH | cat=research,vulns | fetch=webfetch | notes: Trustwave SpiderLabs was rebranded to LevelBlue in 2025. URL CORRECTED 2026-05-08: legacy https://www.trustwave.com/en-us/resources/blogs/spiderlabs-blog 301-re
- unit42 | Palo Alto Networks Unit 42 | https://unit42.paloaltonetworks.com/ | reliability=HIGH | cat=research | fetch=webfetch | notes: Palo Alto threat research. RSS at https://unit42.paloaltonetworks.com/feed/ fully mirrors the listing (verified 2026-05-08). 2026-05-08 audit: WebFetch on HTML 
- volexity | Volexity | https://www.volexity.com/blog/ | reliability=HIGH | cat=research | fetch=webfetch | notes: Memory forensics and APT research; strong on Ivanti/edge-device 0-days. Cadence is sparse — when the feed is empty in the window, flag as 'no items'. 2026-05-08
- watchtowr | watchTowr Labs | https://labs.watchtowr.com/ | reliability=HIGH | cat=vulns,research | fetch=webfetch | notes: Edge-device exploit research, often ahead of vendor disclosures. RSS at https://labs.watchtowr.com/rss/.
- withsecure-labs | WithSecure Labs | https://labs.withsecure.com/publications | reliability=MEDIUM | cat=ch-eu,research | fetch=webfetch | notes: Formerly F-Secure Labs; Finnish; strong on European threat actors. Cadence is sparse (low-frequency rotation source). The /publications landing does NOT surface
- wiz-blog | Wiz Research Blog | https://www.wiz.io/blog | reliability=HIGH | cat=vulns,research | fetch=webfetch | notes: Cloud security research; strong on cloud-native CVEs, container escapes, and misconfiguration. Promoted from candidate → active 2026-05-08 after 2026-05-08 audi
- zdi | Zero Day Initiative | https://www.zerodayinitiative.com/blog/ | reliability=HIGH | cat=vulns,research | fetch=webfetch | notes: Trend Micro ZDI vulnerability disclosure programme.
